id_student,code_module,code_presentation,assignment_id,task_type,assignment_weight,due_at_day_offset,submitted_at_day_offset,relative_due_position,grade_score,is_late,gender,age_band,disability,history_avg_delay,history_late_count,history_assessment_count,history_late_ratio,history_avg_score,history_score_variance,snapshot_day_rel,snapshot_day_abs,time_to_deadline_days,label_late,snapshot_id
10000,17007,Unknown,555173.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,-2.105378086419753,0.0,3.0,0.0,1.0,0.0,-3,17.0,3.0,0,5360
10000,17007,Unknown,555173.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,-2.105378086419753,0.0,3.0,0.0,1.0,0.0,0,20.0,0.0,0,10709
10000,17007,Unknown,555174.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,428.346842337963,0.0,4.0,0.0,1.0,0.0,-7,13.0,7.0,0,12
10000,17007,Unknown,555174.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,428.346842337963,0.0,4.0,0.0,1.0,0.0,-3,17.0,3.0,0,5361
10000,17007,Unknown,555174.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,428.346842337963,0.0,4.0,0.0,1.0,0.0,0,20.0,0.0,0,10710
10000,16488,Unknown,562689.0,Homework,1.0,22.0,22.0,0.2115384615384615,1.0,0,M,0-35,N,-2.2334953703703704,0.0,1.0,0.0,1.0,0.0,-7,15.0,7.0,0,1
10000,16488,Unknown,562689.0,Homework,1.0,22.0,22.0,0.2115384615384615,1.0,0,M,0-35,N,-2.2334953703703704,0.0,1.0,0.0,1.0,0.0,-3,19.0,3.0,0,5350
10000,16488,Unknown,562689.0,Homework,1.0,22.0,22.0,0.2115384615384615,1.0,0,M,0-35,N,-2.2334953703703704,0.0,1.0,0.0,1.0,0.0,0,22.0,0.0,0,10699
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,-7,16.0,7.0,0,38
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,-3,20.0,3.0,0,5387
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,0.0,0,10736
10000,17007,Unknown,569464.0,Homework,1.0,30.0,,0.2941176470588235,1.0,0,M,0-35,N,686.6181745925926,0.0,5.0,0.0,1.0,0.0,-7,23.0,7.0,0,13
10000,17007,Unknown,569464.0,Homework,1.0,30.0,,0.2941176470588235,1.0,0,M,0-35,N,686.6181745925926,0.0,5.0,0.0,1.0,0.0,-3,27.0,3.0,0,5362
10000,17007,Unknown,569464.0,Homework,1.0,30.0,,0.2941176470588235,1.0,0,M,0-35,N,686.6181745925926,0.0,5.0,0.0,1.0,0.0,0,30.0,0.0,0,10711
10000,16488,Unknown,576220.0,Homework,3.0,33.0,31.0,0.3173076923076923,0.0,0,M,0-35,N,-1.2358564814814814,0.0,2.0,0.0,1.0,0.0,-7,26.0,7.0,0,2
10000,16488,Unknown,576220.0,Homework,3.0,33.0,31.0,0.3173076923076923,0.0,0,M,0-35,N,-1.2358564814814814,0.0,2.0,0.0,1.0,0.0,-3,30.0,3.0,0,5351
10000,16488,Unknown,576220.0,Homework,3.0,33.0,31.0,0.3173076923076923,0.0,0,M,0-35,N,-1.2358564814814814,0.0,2.0,0.0,1.0,0.0,0,33.0,0.0,0,10700
10000,17007,Unknown,582796.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,857.1325099074074,0.0,6.0,0.0,1.0,0.0,-7,27.0,7.0,0,14
10000,17007,Unknown,582796.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,857.1325099074074,0.0,6.0,0.0,1.0,0.0,-3,31.0,3.0,0,5363
10000,17007,Unknown,582796.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,857.1325099074074,0.0,6.0,0.0,1.0,0.0,0,34.0,0.0,0,10712
10000,17007,Unknown,582799.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,978.3569375793652,0.0,7.0,0.0,1.0,0.0,-7,27.0,7.0,0,15
10000,17007,Unknown,582799.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,978.3569375793652,0.0,7.0,0.0,1.0,0.0,-3,31.0,3.0,0,5364
10000,17007,Unknown,582799.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,978.3569375793652,0.0,7.0,0.0,1.0,0.0,0,34.0,0.0,0,10713
10000,19899,Unknown,584969.0,Homework,10.0,274.0,273.0,0.817910447761194,0.0,0,M,0-35,N,1715.2035036111113,0.0,2.0,0.0,0.0,0.0,-7,267.0,7.0,0,46
10000,19899,Unknown,584969.0,Homework,10.0,274.0,273.0,0.817910447761194,0.0,0,M,0-35,N,1715.2035036111113,0.0,2.0,0.0,0.0,0.0,-3,271.0,3.0,0,5395
10000,19899,Unknown,584969.0,Homework,10.0,274.0,273.0,0.817910447761194,0.0,0,M,0-35,N,1715.2035036111113,0.0,2.0,0.0,0.0,0.0,0,274.0,0.0,0,10744
10000,19899,Unknown,584971.0,Homework,1.0,267.0,,0.7970149253731343,0.0,0,M,0-35,N,1726.7035036111113,0.0,1.0,0.0,0.0,0.0,-7,260.0,7.0,0,45
10000,19899,Unknown,584971.0,Homework,1.0,267.0,,0.7970149253731343,0.0,0,M,0-35,N,1726.7035036111113,0.0,1.0,0.0,0.0,0.0,-3,264.0,3.0,0,5394
10000,19899,Unknown,584971.0,Homework,1.0,267.0,,0.7970149253731343,0.0,0,M,0-35,N,1726.7035036111113,0.0,1.0,0.0,0.0,0.0,0,267.0,0.0,0,10743
10000,18304,Unknown,591002.0,Homework,10.0,58.0,58.0,0.5742574257425742,0.0,0,M,0-35,N,-0.3258709490740741,0.0,4.0,0.0,0.0,0.0,-7,51.0,7.0,0,32
10000,18304,Unknown,591002.0,Homework,10.0,58.0,58.0,0.5742574257425742,0.0,0,M,0-35,N,-0.3258709490740741,0.0,4.0,0.0,0.0,0.0,-3,55.0,3.0,0,5381
10000,18304,Unknown,591002.0,Homework,10.0,58.0,58.0,0.5742574257425742,0.0,0,M,0-35,N,-0.3258709490740741,0.0,4.0,0.0,0.0,0.0,0,58.0,0.0,0,10730
10000,18304,Unknown,591005.0,Homework,10.0,68.0,68.0,0.6732673267326733,0.0,0,M,0-35,N,-0.2938125,0.0,5.0,0.0,0.0,0.0,-7,61.0,7.0,0,33
10000,18304,Unknown,591005.0,Homework,10.0,68.0,68.0,0.6732673267326733,0.0,0,M,0-35,N,-0.2938125,0.0,5.0,0.0,0.0,0.0,-3,65.0,3.0,0,5382
10000,18304,Unknown,591005.0,Homework,10.0,68.0,68.0,0.6732673267326733,0.0,0,M,0-35,N,-0.2938125,0.0,5.0,0.0,0.0,0.0,0,68.0,0.0,0,10731
10000,18304,Unknown,591009.0,Homework,10.0,92.0,92.0,0.9108910891089108,0.0,0,M,0-35,N,-0.2527951388888889,0.0,6.0,0.0,0.0,0.0,-7,85.0,7.0,0,34
10000,18304,Unknown,591009.0,Homework,10.0,92.0,92.0,0.9108910891089108,0.0,0,M,0-35,N,-0.2527951388888889,0.0,6.0,0.0,0.0,0.0,-3,89.0,3.0,0,5383
10000,18304,Unknown,591009.0,Homework,10.0,92.0,92.0,0.9108910891089108,0.0,0,M,0-35,N,-0.2527951388888889,0.0,6.0,0.0,0.0,0.0,0,92.0,0.0,0,10732
10000,18304,Unknown,591014.0,Homework,10.0,101.0,101.0,1.0,0.0,0,M,0-35,N,-0.1925565843621399,0.0,9.0,0.0,6.666666666666667,20.0,-7,94.0,7.0,0,37
10000,18304,Unknown,591014.0,Homework,10.0,101.0,101.0,1.0,0.0,0,M,0-35,N,-0.1925565843621399,0.0,9.0,0.0,6.666666666666667,20.0,-3,98.0,3.0,0,5386
10000,18304,Unknown,591014.0,Homework,10.0,101.0,101.0,1.0,0.0,0,M,0-35,N,-0.1925565843621399,0.0,9.0,0.0,6.666666666666667,20.0,0,101.0,0.0,0,10735
10000,18659,Unknown,591576.0,Quiz,20.0,37.0,37.0,0.37,16.0,0,M,0-35,N,-0.00625,0.0,1.0,0.0,17.0,0.0,-7,30.0,7.0,0,39
10000,18659,Unknown,591576.0,Quiz,20.0,37.0,37.0,0.37,16.0,0,M,0-35,N,-0.00625,0.0,1.0,0.0,17.0,0.0,-3,34.0,3.0,0,5388
10000,18659,Unknown,591576.0,Quiz,20.0,37.0,37.0,0.37,16.0,0,M,0-35,N,-0.00625,0.0,1.0,0.0,17.0,0.0,0,37.0,0.0,0,10737
10000,16488,Unknown,593271.0,Homework,25.0,40.0,40.0,0.3846153846153846,0.0,0,M,0-35,N,-1.587403549382716,0.0,3.0,0.0,0.6666666666666666,0.5773502691896258,-7,33.0,7.0,0,3
10000,16488,Unknown,593271.0,Homework,25.0,40.0,40.0,0.3846153846153846,0.0,0,M,0-35,N,-1.587403549382716,0.0,3.0,0.0,0.6666666666666666,0.5773502691896258,-3,37.0,3.0,0,5352
10000,16488,Unknown,593271.0,Homework,25.0,40.0,40.0,0.3846153846153846,0.0,0,M,0-35,N,-1.587403549382716,0.0,3.0,0.0,0.6666666666666666,0.5773502691896258,0,40.0,0.0,0,10701
10000,17007,Unknown,597079.0,Homework,1.0,42.0,,0.4117647058823529,1.0,0,M,0-35,N,1069.275258333333,0.0,8.0,0.0,1.0,0.0,-7,35.0,7.0,0,16
10000,17007,Unknown,597079.0,Homework,1.0,42.0,,0.4117647058823529,1.0,0,M,0-35,N,1069.275258333333,0.0,8.0,0.0,1.0,0.0,-3,39.0,3.0,0,5365
10000,17007,Unknown,597079.0,Homework,1.0,42.0,,0.4117647058823529,1.0,0,M,0-35,N,1069.275258333333,0.0,8.0,0.0,1.0,0.0,0,42.0,0.0,0,10714
10000,17007,Unknown,597082.0,Homework,1.0,42.0,,0.4117647058823529,1.0,0,M,0-35,N,1139.1006947942387,0.0,9.0,0.0,1.0,0.0,-7,35.0,7.0,0,17
10000,17007,Unknown,597082.0,Homework,1.0,42.0,,0.4117647058823529,1.0,0,M,0-35,N,1139.1006947942387,0.0,9.0,0.0,1.0,0.0,-3,39.0,3.0,0,5366
10000,17007,Unknown,597082.0,Homework,1.0,42.0,,0.4117647058823529,1.0,0,M,0-35,N,1139.1006947942387,0.0,9.0,0.0,1.0,0.0,0,42.0,0.0,0,10715
10000,17007,Unknown,610313.0,Homework,1.0,48.0,48.0,0.4705882352941176,1.0,0,M,0-35,N,1194.961043962963,0.0,10.0,0.0,1.0,0.0,-7,41.0,7.0,0,18
10000,17007,Unknown,610313.0,Homework,1.0,48.0,48.0,0.4705882352941176,1.0,0,M,0-35,N,1194.961043962963,0.0,10.0,0.0,1.0,0.0,-3,45.0,3.0,0,5367
10000,17007,Unknown,610313.0,Homework,1.0,48.0,48.0,0.4705882352941176,1.0,0,M,0-35,N,1194.961043962963,0.0,10.0,0.0,1.0,0.0,0,48.0,0.0,0,10716
10000,18659,Unknown,616870.0,Exam,100.0,51.0,51.0,0.51,88.0,0,M,0-35,N,-0.0041898148148148,0.0,2.0,0.0,16.5,0.7071067811865476,-7,44.0,7.0,0,40
10000,18659,Unknown,616870.0,Exam,100.0,51.0,51.0,0.51,88.0,0,M,0-35,N,-0.0041898148148148,0.0,2.0,0.0,16.5,0.7071067811865476,-3,48.0,3.0,0,5389
10000,18659,Unknown,616870.0,Exam,100.0,51.0,51.0,0.51,88.0,0,M,0-35,N,-0.0041898148148148,0.0,2.0,0.0,16.5,0.7071067811865476,0,51.0,0.0,0,10738
10000,19899,Unknown,626041.0,Homework,1.0,290.0,290.0,0.8656716417910447,1.0,0,M,0-35,N,1143.0917145987655,0.0,3.0,0.0,0.0,0.0,-7,283.0,7.0,0,47
10000,19899,Unknown,626041.0,Homework,1.0,290.0,290.0,0.8656716417910447,1.0,0,M,0-35,N,1143.0917145987655,0.0,3.0,0.0,0.0,0.0,-3,287.0,3.0,0,5396
