id_student,code_module,code_presentation,assignment_id,task_type,assignment_weight,due_at_day_offset,submitted_at_day_offset,relative_due_position,grade_score,is_late,gender,age_band,disability,history_avg_delay,history_late_count,history_assessment_count,history_late_ratio,history_avg_score,history_score_variance,snapshot_day_rel,snapshot_day_abs,time_to_deadline_days,label_late,snapshot_id,teacher_prob
10000,17007,Unknown,539941.0,Homework,1.0,13.0,13.0,0.1274509803921568,1.0,0,M,0-35,N,-0.3536226851851852,0.0,1.0,0.0,1.0,0.0,-7,6.0,7.0,0,9,0.1674564927816391
10000,17007,Unknown,539941.0,Homework,1.0,13.0,13.0,0.1274509803921568,1.0,0,M,0-35,N,-0.3536226851851852,0.0,1.0,0.0,1.0,0.0,-3,10.0,3.0,0,5358,0.1600414216518402
10000,17007,Unknown,539941.0,Homework,1.0,13.0,13.0,0.1274509803921568,1.0,0,M,0-35,N,-0.3536226851851852,0.0,1.0,0.0,1.0,0.0,0,13.0,0.0,0,10707,0.15604138374328613
10000,16488,Unknown,551650.0,Homework,1.0,19.0,17.0,0.1826923076923076,1.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,-7,12.0,7.0,0,0,0.1657884269952774
10000,16488,Unknown,551650.0,Homework,1.0,19.0,17.0,0.1826923076923076,1.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,-3,16.0,3.0,0,5349,0.15594294667243958
10000,16488,Unknown,551650.0,Homework,1.0,19.0,17.0,0.1826923076923076,1.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,0.0,0,10698,0.15399275720119476
10000,17007,Unknown,555173.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,-2.105378086419753,0.0,3.0,0.0,1.0,0.0,-7,13.0,7.0,0,11,0.1547427773475647
10000,17007,Unknown,555173.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,-2.105378086419753,0.0,3.0,0.0,1.0,0.0,-3,17.0,3.0,0,5360,0.14775943756103516
10000,17007,Unknown,555173.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,-2.105378086419753,0.0,3.0,0.0,1.0,0.0,0,20.0,0.0,0,10709,0.1373133808374405
10000,17007,Unknown,555174.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,428.346842337963,0.0,4.0,0.0,1.0,0.0,-7,13.0,7.0,0,12,0.9820575714111328
10000,17007,Unknown,555174.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,428.346842337963,0.0,4.0,0.0,1.0,0.0,-3,17.0,3.0,0,5361,0.982269823551178
10000,17007,Unknown,555174.0,Homework,1.0,20.0,,0.196078431372549,1.0,0,M,0-35,N,428.346842337963,0.0,4.0,0.0,1.0,0.0,0,20.0,0.0,0,10710,0.981464684009552
10000,16488,Unknown,562689.0,Homework,1.0,22.0,22.0,0.2115384615384615,1.0,0,M,0-35,N,-2.2334953703703704,0.0,1.0,0.0,1.0,0.0,-7,15.0,7.0,0,1,0.5465227961540222
10000,16488,Unknown,562689.0,Homework,1.0,22.0,22.0,0.2115384615384615,1.0,0,M,0-35,N,-2.2334953703703704,0.0,1.0,0.0,1.0,0.0,-3,19.0,3.0,0,5350,0.9575215578079224
10000,16488,Unknown,562689.0,Homework,1.0,22.0,22.0,0.2115384615384615,1.0,0,M,0-35,N,-2.2334953703703704,0.0,1.0,0.0,1.0,0.0,0,22.0,0.0,0,10699,0.6815153956413269
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,-7,16.0,7.0,0,38,0.18350039422512054
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,-3,20.0,3.0,0,5387,0.18306848406791687
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,0.0,0,10736,0.18357975780963898
10000,17007,Unknown,569464.0,Homework,1.0,30.0,,0.2941176470588235,1.0,0,M,0-35,N,686.6181745925926,0.0,5.0,0.0,1.0,0.0,-7,23.0,7.0,0,13,0.9826532602310181
10000,17007,Unknown,569464.0,Homework,1.0,30.0,,0.2941176470588235,1.0,0,M,0-35,N,686.6181745925926,0.0,5.0,0.0,1.0,0.0,-3,27.0,3.0,0,5362,0.9827333688735962
10000,17007,Unknown,569464.0,Homework,1.0,30.0,,0.2941176470588235,1.0,0,M,0-35,N,686.6181745925926,0.0,5.0,0.0,1.0,0.0,0,30.0,0.0,0,10711,0.9819347858428955
10000,16488,Unknown,576220.0,Homework,3.0,33.0,31.0,0.3173076923076923,0.0,0,M,0-35,N,-1.2358564814814814,0.0,2.0,0.0,1.0,0.0,-7,26.0,7.0,0,2,0.14177553355693817
10000,16488,Unknown,576220.0,Homework,3.0,33.0,31.0,0.3173076923076923,0.0,0,M,0-35,N,-1.2358564814814814,0.0,2.0,0.0,1.0,0.0,-3,30.0,3.0,0,5351,0.13910135626792908
10000,16488,Unknown,576220.0,Homework,3.0,33.0,31.0,0.3173076923076923,0.0,0,M,0-35,N,-1.2358564814814814,0.0,2.0,0.0,1.0,0.0,0,33.0,0.0,0,10700,0.1399431675672531
10000,17007,Unknown,582796.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,857.1325099074074,0.0,6.0,0.0,1.0,0.0,-7,27.0,7.0,0,14,0.9827420115470886
10000,17007,Unknown,582796.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,857.1325099074074,0.0,6.0,0.0,1.0,0.0,-3,31.0,3.0,0,5363,0.9828033447265625
10000,17007,Unknown,582796.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,857.1325099074074,0.0,6.0,0.0,1.0,0.0,0,34.0,0.0,0,10712,0.9819996356964111
10000,17007,Unknown,582799.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,978.3569375793652,0.0,7.0,0.0,1.0,0.0,-7,27.0,7.0,0,15,0.982720136642456
10000,17007,Unknown,582799.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,978.3569375793652,0.0,7.0,0.0,1.0,0.0,-3,31.0,3.0,0,5364,0.9827741384506226
10000,17007,Unknown,582799.0,Homework,1.0,34.0,,0.3333333333333333,1.0,0,M,0-35,N,978.3569375793652,0.0,7.0,0.0,1.0,0.0,0,34.0,0.0,0,10713,0.981965959072113
10000,19899,Unknown,584969.0,Homework,10.0,274.0,273.0,0.817910447761194,0.0,0,M,0-35,N,1715.2035036111113,0.0,2.0,0.0,0.0,0.0,-7,267.0,7.0,0,46,0.9957976341247559
