id_student,code_module,code_presentation,assignment_id,task_type,assignment_weight,due_at_day_offset,submitted_at_day_offset,relative_due_position,grade_score,is_late,gender,age_band,disability,history_avg_delay,history_late_count,history_assessment_count,history_late_ratio,history_avg_score,history_score_variance
10000,18304,Unknown,591002.0,Homework,10.0,58.0,58.0,0.5742574257425742,0.0,0,M,0-35,N,-0.3258709490740741,0.0,4.0,0.0,0.0,0.0
10000,18304,Unknown,591005.0,Homework,10.0,68.0,68.0,0.6732673267326733,0.0,0,M,0-35,N,-0.2938125,0.0,5.0,0.0,0.0,0.0
10000,18304,Unknown,591009.0,Homework,10.0,92.0,92.0,0.9108910891089109,0.0,0,M,0-35,N,-0.2527951388888889,0.0,6.0,0.0,0.0,0.0
10000,18304,Unknown,695162.0,Exam,150.0,98.0,98.0,0.9702970297029703,60.0,0,M,0-35,N,-0.24749338624338627,0.0,7.0,0.0,0.0,0.0
10000,18304,Unknown,695164.0,Exam,700.0,100.0,100.0,0.9900990099009901,0.0,0,M,0-35,N,-0.21658564814814815,0.0,8.0,0.0,7.5,21.213203435596427
10000,18304,Unknown,591014.0,Homework,10.0,101.0,101.0,1.0,0.0,0,M,0-35,N,-0.1925565843621399,0.0,9.0,0.0,6.666666666666667,20.0
10000,18659,Unknown,563295.0,Quiz,20.0,23.0,23.0,0.23,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,18659,Unknown,591576.0,Quiz,20.0,37.0,37.0,0.37,16.0,0,M,0-35,N,-0.00625,0.0,1.0,0.0,17.0,0.0
10000,18659,Unknown,616870.0,Exam,100.0,51.0,51.0,0.51,88.0,0,M,0-35,N,-0.004189814814814815,0.0,2.0,0.0,16.5,0.7071067811865476
10000,18659,Unknown,643370.0,Quiz,20.0,65.0,65.0,0.65,15.0,0,M,0-35,N,-0.0030015432098765434,0.0,3.0,0.0,40.333333333333336,41.28357219685977
10000,18659,Unknown,668028.0,Quiz,20.0,79.0,79.0,0.79,5.0,0,M,0-35,N,-0.0025983796296296297,0.0,4.0,0.0,34.0,36.00925806881706
10000,18659,Unknown,700554.0,Exam,100.0,100.0,100.0,1.0,85.0,0,M,0-35,N,-0.0024074074074074076,0.0,5.0,0.0,28.2,33.774250546829315
10000,19899,Unknown,527592.0,Homework,1.0,244.0,,0.7283582089552239,0.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,19899,Unknown,584971.0,Homework,1.0,267.0,,0.7970149253731343,0.0,0,M,0-35,N,1726.7035036111113,0.0,1.0,0.0,0.0,0.0
10000,19899,Unknown,584969.0,Homework,10.0,274.0,273.0,0.817910447761194,0.0,0,M,0-35,N,1715.2035036111113,0.0,2.0,0.0,0.0,0.0
